iter	MultiClass
0	1.054583159
1	1.016051698
2	0.9815286454
3	0.9490586714
4	0.9208420692
5	0.8947280186
6	0.8711154861
7	0.8481037541
8	0.8271651103
9	0.8077713159
10	0.7896262538
11	0.771999364
12	0.756317466
13	0.7413948815
14	0.7271986333
15	0.7130426966
16	0.6999536175
17	0.6884042173
18	0.6768671798
19	0.6665632443
20	0.6562394895
21	0.646185175
22	0.6371768433
23	0.6281082909
24	0.6208052333
25	0.6136265379
26	0.6067090754
27	0.6000081274
28	0.5928364076
29	0.5856199172
30	0.5783977273
31	0.572666702
32	0.5665394427
33	0.5615764953
34	0.5559109978
35	0.551111546
36	0.5453026944
37	0.5409652065
38	0.5365993225
39	0.5317639172
40	0.5278120869
41	0.5234895392
42	0.5196933099
43	0.516877152
44	0.5130665615
45	0.5093285831
46	0.5055632565
47	0.5022294675
48	0.5002133252
49	0.496909029
50	0.4950801815
51	0.4918504488
52	0.4887543784
53	0.4858684668
54	0.4824951055
55	0.4801310707
56	0.4765872077
57	0.4752923355
58	0.4727669923
59	0.4703831753
60	0.4684129362
61	0.4663753452
62	0.4642510768
63	0.4621138172
64	0.4598065221
65	0.4580578006
66	0.4564896447
67	0.4539813018
68	0.451178963
69	0.449881813
70	0.4480672277
71	0.4464391322
72	0.4432781373
73	0.4418001865
74	0.4401094535
75	0.4378164188
76	0.4365080181
77	0.4345056954
78	0.4322829053
79	0.4306243872
80	0.4293134193
81	0.4270768396
82	0.4247285623
83	0.4235698675
84	0.4223833458
85	0.4204396959
86	0.4195283895
87	0.4176437616
88	0.4152406453
89	0.4135887096
90	0.4125305503
91	0.4109784769
92	0.4095281882
93	0.4084205642
94	0.4073319685
95	0.4046236175
96	0.4027573033
97	0.4016778235
98	0.4004479441
99	0.399780768
100	0.398718882
101	0.3971060243
102	0.3958924522
103	0.3944569329
104	0.3926502825
105	0.3913030661
106	0.3902358675
107	0.3889924099
108	0.3873064549
109	0.3857175391
110	0.3850057436
111	0.383931049
112	0.3832760926
113	0.3819702037
114	0.3806562819
115	0.3797544599
116	0.3791113993
117	0.3777802668
118	0.3760468391
119	0.3750459886
120	0.3741286712
121	0.3733141111
122	0.3724622612
123	0.3719682817
124	0.3711098026
125	0.3698220339
126	0.3689510813
127	0.3679243637
128	0.36643422
129	0.3655234853
130	0.3648690948
131	0.3635820448
132	0.3627047982
133	0.3618083461
134	0.3607155024
135	0.3601135217
136	0.3589363268
137	0.3581067998
138	0.3570619349
139	0.3561407
140	0.355131176
141	0.3535097883
142	0.3526044659
143	0.3516017787
144	0.3501462201
145	0.3493153028
146	0.347558704
147	0.3466236761
148	0.3453290712
149	0.3440333569
150	0.3430745173
151	0.3424180276
152	0.341578312
153	0.3406706239
154	0.3396511794
155	0.3389518476
156	0.3380457392
157	0.3364742349
158	0.3358433028
159	0.3341936484
160	0.3330127505
161	0.3320103808
162	0.3312283751
163	0.3305994976
164	0.3299686593
165	0.3291213846
166	0.3281383251
167	0.3275140115
168	0.3266353843
169	0.3258863808
170	0.3247255184
171	0.3241993147
172	0.3233624007
173	0.322681051
174	0.3219880841
175	0.3214675501
176	0.3209692439
177	0.3202116757
178	0.3190852058
179	0.3179171392
180	0.3171883441
181	0.3167781842
182	0.3162696755
183	0.3153918136
184	0.3150972442
185	0.3142784222
186	0.3135111025
187	0.3130245299
188	0.312289981
189	0.3116795622
190	0.3103144912
191	0.3098975704
192	0.3091828391
193	0.3086464198
194	0.3081157054
195	0.307340402
196	0.3069182634
197	0.3064418006
198	0.30580816
199	0.3053129592
200	0.3041064232
201	0.3037058579
202	0.3031128049
203	0.3027346569
204	0.3015043085
205	0.3008978531
206	0.3001707952
207	0.2998572816
208	0.29929984
209	0.2983762316
210	0.2977046093
211	0.2972184323
212	0.2968040494
213	0.2959114434
214	0.2954777074
215	0.2952155795
216	0.2946908652
217	0.2943531932
218	0.2939738772
219	0.2936387941
220	0.2929752144
221	0.2924512718
222	0.2914684422
223	0.291053409
224	0.2905649634
225	0.2900652081
226	0.2896748975
227	0.2894359332
228	0.2891396818
229	0.2888186131
230	0.2885241808
231	0.2881533214
232	0.287032658
233	0.2866640189
234	0.286139221
235	0.2858099323
236	0.2853902083
237	0.2848924936
238	0.2845230549
239	0.2839855661
240	0.2832967398
241	0.2830353567
242	0.2826942592
243	0.2823225467
244	0.2819290985
245	0.2810349034
246	0.280431461
247	0.2799130211
248	0.2796291115
249	0.2792471567
250	0.2790494551
251	0.2786476144
252	0.2782414469
253	0.2779128905
254	0.2775566122
255	0.2772714714
256	0.2767389782
257	0.276475353
258	0.2761465
259	0.275934694
260	0.2757119925
261	0.2751403153
262	0.2748004063
263	0.2744854365
264	0.2739959963
265	0.2730019512
266	0.2723947198
267	0.271902512
268	0.2715911849
269	0.2711995654
270	0.2703973776
271	0.2701026524
272	0.2697072092
273	0.2692176711
274	0.2688179736
275	0.2683325496
276	0.2678397578
277	0.2673975799
278	0.266750297
279	0.2663201506
280	0.2660750329
281	0.2658780154
282	0.2652568174
283	0.2644642215
284	0.2641942915
285	0.26401003
286	0.2637404591
287	0.2635336755
288	0.2632144657
289	0.2624722884
290	0.2619381545
291	0.2614077538
292	0.2611500873
293	0.2608523614
294	0.2605282533
295	0.2603739894
296	0.2601668349
297	0.2598576102
298	0.2594838884
299	0.2592130833
