iter	Passed	Remaining
0	137	41161
1	140	20952
2	143	14186
3	146	10812
4	148	8784
5	151	7424
6	154	6460
7	157	5739
8	160	5183
9	163	4736
10	166	4377
11	169	4079
12	172	3818
13	175	3591
14	178	3393
15	180	3212
16	183	3053
17	185	2911
18	188	2782
19	190	2670
20	193	2566
21	195	2472
22	197	2384
23	200	2303
24	202	2228
25	205	2161
26	207	2099
27	210	2042
28	212	1987
29	215	1936
30	217	1889
31	220	1845
32	222	1803
33	225	1764
34	228	1726
35	230	1690
36	233	1656
37	235	1623
38	237	1591
39	240	1560
40	242	1534
41	245	1508
42	248	1482
43	250	1457
44	252	1432
45	255	1408
46	257	1387
47	260	1365
48	262	1342
49	264	1322
50	266	1302
51	269	1283
52	271	1265
53	273	1248
54	276	1230
55	278	1214
56	281	1197
57	283	1182
58	285	1167
59	288	1153
60	290	1139
61	293	1125
62	295	1112
63	298	1100
64	300	1087
65	302	1074
66	305	1061
67	308	1050
68	310	1039
69	312	1028
70	315	1017
71	317	1005
72	319	994
73	322	984
74	324	974
75	327	964
76	329	955
77	331	944
78	334	935
79	336	925
80	339	916
81	341	907
82	343	898
83	346	890
84	348	882
85	351	874
86	354	866
87	356	858
88	358	851
89	361	843
90	363	835
91	366	828
92	368	821
93	371	814
94	373	806
95	376	799
96	378	793
97	381	787
98	384	780
99	386	773
100	389	766
101	391	760
102	394	753
103	396	747
104	399	741
105	401	734
106	404	728
107	406	722
108	409	716
109	411	710
110	413	704
111	416	698
112	418	692
113	421	687
114	423	681
115	425	675
116	428	669
117	430	664
118	433	658
119	435	653
120	438	648
121	440	642
122	443	637
123	445	632
124	448	627
125	450	622
126	452	617
127	455	611
128	457	606
129	460	601
130	462	596
131	464	591
132	467	587
133	470	582
134	472	578
135	475	573
136	477	568
137	480	563
138	482	559
139	485	554
140	488	550
141	490	546
142	493	541
143	495	536
144	498	532
145	500	528
146	503	524
147	506	519
148	508	515
149	511	511
150	513	506
151	516	502
152	518	498
153	520	493
154	523	489
155	525	485
156	528	481
157	530	476
158	532	472
159	535	468
160	537	464
161	539	459
162	542	455
163	544	451
164	547	447
165	550	444
166	552	440
167	555	436
168	557	432
169	560	428
170	562	424
171	564	420
172	567	416
173	569	412
174	572	408
175	574	404
176	576	400
177	578	396
178	581	392
179	583	389
180	586	385
181	588	381
182	591	378
183	593	374
184	596	370
185	598	366
186	601	363
187	603	359
188	605	355
189	608	352
190	610	348
191	612	344
192	615	341
193	617	337
194	620	333
195	622	330
196	625	326
197	627	323
198	630	319
199	633	316
200	635	313
201	637	309
202	640	305
203	642	302
204	645	299
205	647	295
206	650	292
207	652	288
208	655	285
209	657	281
210	660	278
211	662	275
212	665	271
213	667	268
214	670	265
215	673	261
216	675	258
217	678	255
218	680	251
219	682	248
220	685	245
221	687	241
222	690	238
223	692	235
224	695	231
225	697	228
226	699	225
227	702	221
228	705	218
229	707	215
230	710	212
231	712	208
232	714	205
233	717	202
234	719	199
235	722	195
236	724	192
237	727	189
238	730	186
239	732	183
240	734	179
241	737	176
242	739	173
243	741	170
244	744	167
245	746	163
246	748	160
247	751	157
248	753	154
249	756	151
250	758	148
251	760	144
252	763	141
253	766	138
254	768	135
255	771	132
256	773	129
257	776	126
258	778	123
259	781	120
260	783	117
261	786	114
262	788	110
263	791	107
264	793	104
265	795	101
266	798	98
267	800	95
268	803	92
269	805	89
270	807	86
271	810	83
272	812	80
273	814	77
274	816	74
275	819	71
276	822	68
277	824	65
278	826	62
279	829	59
280	832	56
281	834	53
282	836	50
283	839	47
284	841	44
285	844	41
286	846	38
287	849	35
288	851	32
289	854	29
290	856	26
291	859	23
292	861	20
293	863	17
294	866	14
295	868	11
296	870	8
297	873	5
298	875	2
299	878	0
